Wk,Year,Home,Away,Outcome,off_rank.x,games.x.x,pts.x,p_comp.x,p_att.x,comp_pct.x,p_yds.x,p_td.x,r_att.x,r_yds.x,r_avg.x,r_td.x,ttl_off_plays.x,ttl_off_yds.x,ttl_off_avg.x,pass_fd.x,rush_fd.x,pen_fd.x,ttl_fd.x,pen.x,pen_yds.x,fum.x,int.x,turnover.x,def_rank.x,games.y.x,opp_pts.x,opp_p_comp.x,opp_p_att.x,opp_comp_pct.x,opp_p_yds.x,opp_p_td.x,opp_r_att.x,opp_r_yds.x,opp_r_avg.x,opp_r_td.x,opp_ttl_off_plays.x,opp_ttl_off_yds.x,opp_ttl_off_avg.x,opp_pass_fd.x,opp_rush_fd.x,opp_pen_fd.x,opp_ttl_fd.x,def_pen.x,def_pen_yds.x,opp_fum.x,opp_int.x,opp_turnover.x,off_rank.y,games.x.y,pts.y,p_comp.y,p_att.y,comp_pct.y,p_yds.y,p_td.y,r_att.y,r_yds.y,r_avg.y,r_td.y,ttl_off_plays.y,ttl_off_yds.y,ttl_off_avg.y,pass_fd.y,rush_fd.y,pen_fd.y,ttl_fd.y,pen.y,pen_yds.y,fum.y,int.y,turnover.y,def_rank.y,games.y.y,opp_pts.y,opp_p_comp.y,opp_p_att.y,opp_comp_pct.y,opp_p_yds.y,opp_p_td.y,opp_r_att.y,opp_r_yds.y,opp_r_avg.y,opp_r_td.y,opp_ttl_off_plays.y,opp_ttl_off_yds.y,opp_ttl_off_avg.y,opp_pass_fd.y,opp_rush_fd.y,opp_pen_fd.y,opp_ttl_fd.y,def_pen.y,def_pen_yds.y,opp_fum.y,opp_int.y,opp_turnover.y
12,2008,Miami (OH),Ball State,0,107,12,18.4,22.1,38.4,57.5,217.9,0.8,31.3,108.1,3.4,0.8,69.8,326.0,4.7,11.0,6.3,1.8,19.1,5.3,42.1,1.3,1.0,2.3,102,12,32.7,15.4,24.8,62.3,187.2,1.8,38.3,208.3,5.4,2.4,63.0,395.5,6.3,8.0,9.7,1.0,18.7,5.1,48.6,0.8,0.5,1.3,18,14,34.9,18.6,28.9,64.4,258.0,1.9,37.1,184.5,5.0,2.3,66.1,442.5,6.7,11.9,9.7,1.6,23.2,2.8,26.7,0.7,0.6,1.3,29,14,20.5,18.6,32.4,57.3,205.2,1.2,35.5,163.0,4.6,1.1,67.9,368.2,5.4,10.1,9.2,0.6,20.0,4.9,42.9,0.5,1.1,1.6
12,2008,Northern Illinois,Central Michigan,0,76,13,24.2,13.5,24.0,56.4,163.8,1.0,38.5,171.2,4.4,1.7,62.5,335.1,5.4,7.6,8.9,1.2,17.7,4.8,43.8,0.5,0.9,1.4,15,13,18.0,16.0,26.0,61.5,161.1,1.0,33.6,137.4,4.1,1.0,59.6,298.5,5.0,7.4,7.5,1.6,16.5,4.7,35.7,1.1,0.5,1.5,38,13,29.5,24.4,36.9,66.0,289.8,2.2,37.2,133.7,3.6,1.5,74.2,423.5,5.7,13.5,8.5,1.1,23.2,5.8,56.6,0.3,0.6,0.9,90,13,30.2,23.0,36.5,62.9,287.2,1.9,32.9,136.5,4.1,1.8,69.5,423.8,6.1,12.5,7.3,2.3,22.1,5.2,46.4,0.6,0.6,1.2
12,2008,Kent State,Temple,1,57,12,25.7,13.8,25.0,55.0,169.7,1.2,43.9,230.6,5.3,2.3,68.9,400.3,5.8,7.3,12.3,1.7,21.3,5.2,39.6,1.2,0.9,2.1,99,12,31.7,17.6,27.8,63.2,216.5,1.3,39.4,178.7,4.5,2.6,67.3,395.2,5.9,9.7,9.1,0.4,19.2,4.9,47.3,1.0,0.8,1.8,82,12,23.4,15.6,28.3,55.2,202.9,1.8,34.4,95.2,2.8,1.0,62.7,298.1,4.8,8.0,5.6,1.3,14.9,6.8,55.3,1.0,1.1,2.1,48,12,23.1,20.6,34.2,60.2,221.7,1.2,40.8,166.3,4.1,1.7,74.9,388.0,5.2,10.5,9.3,1.7,21.4,4.9,49.8,1.2,0.9,2.1
12,2008,Akron,Buffalo,0,36,12,30.0,19.3,33.7,57.4,231.5,1.7,36.3,165.2,4.6,1.9,69.9,396.7,5.7,11.3,8.8,1.2,21.3,5.5,46.5,0.5,1.2,1.7,96,12,31.3,18.8,29.7,63.5,210.4,2.2,42.0,187.2,4.5,1.7,71.7,397.6,5.5,9.9,11.0,1.5,22.4,4.2,37.6,1.4,0.8,2.2,33,14,30.3,21.9,33.7,64.8,237.6,1.8,34.7,132.7,3.8,1.9,68.4,370.3,5.4,11.1,7.3,1.6,19.9,4.7,44.9,0.6,0.4,1.0,78,14,28.2,21.9,33.2,65.8,235.2,1.3,35.4,173.0,4.9,2.2,68.6,408.2,5.9,11.4,9.4,0.9,21.6,5.4,42.1,1.8,0.6,2.4
12,2008,Miami (FL),Virginia Tech,1,50,13,27.1,18.2,31.6,57.7,196.8,1.7,32.8,129.2,3.9,1.3,64.4,326.0,5.1,9.2,6.8,0.9,16.9,5.7,46.5,0.4,1.5,1.9,57,13,24.2,13.2,25.8,51.2,165.6,1.2,37.9,151.8,4.0,1.6,63.8,317.5,5.0,6.3,8.4,1.8,16.5,4.8,41.3,0.8,0.3,1.2,90,14,22.1,11.9,20.8,57.4,129.1,0.4,46.1,174.4,3.8,1.6,66.9,303.4,4.5,6.0,9.6,1.7,17.4,5.0,34.7,0.6,0.9,1.4,9,14,16.7,12.9,24.5,52.8,175.0,0.9,32.2,104.4,3.2,0.9,56.7,279.4,4.9,7.4,5.6,0.7,13.7,6.1,53.1,1.0,1.4,2.4
12,2008,UNLV,Wyoming,1,58,12,25.6,18.6,32.1,57.9,223.3,1.9,33.7,121.7,3.6,1.3,65.8,345.0,5.2,10.7,6.3,1.9,18.9,5.5,43.0,0.6,0.5,1.1,101,12,32.6,15.9,26.0,61.2,210.1,2.0,42.5,213.1,5.0,2.0,68.5,423.2,6.2,9.7,10.8,1.2,21.6,7.3,64.0,0.5,0.6,1.1,120,12,12.7,11.9,23.1,51.6,117.7,0.7,41.8,178.3,4.3,0.8,64.9,296.0,4.6,5.2,9.5,1.7,16.3,5.8,51.8,1.6,1.4,3.0,75,12,27.8,16.7,29.9,55.7,189.5,1.5,37.8,140.2,3.7,1.1,67.7,329.7,4.9,8.4,7.1,1.7,17.2,6.7,57.0,0.4,0.8,1.2
12,2008,Louisville,Cincinnati,0,68,12,24.7,18.9,32.6,58.1,212.2,1.3,37.8,164.5,4.3,1.5,70.4,376.7,5.3,9.5,8.4,2.3,20.3,6.3,56.8,1.1,1.4,2.5,89,12,29.8,18.8,31.9,59.0,239.3,2.2,30.8,129.5,4.2,1.2,62.8,368.8,5.9,9.8,6.3,1.7,17.8,7.1,59.6,0.8,0.7,1.5,55,14,25.9,20.7,33.7,61.4,253.0,1.9,32.5,117.6,3.6,1.1,66.2,370.6,5.6,11.1,7.1,1.3,19.4,7.1,64.5,1.1,1.1,2.1,25,14,20.1,19.1,34.1,56.1,206.9,1.3,34.4,115.0,3.3,0.9,68.5,321.9,4.7,9.6,6.1,1.8,17.6,6.1,51.9,0.4,1.2,1.6
12,2008,Alabama,Mississippi State,1,35,14,30.1,13.9,23.9,58.4,171.1,0.8,40.6,184.6,4.6,2.3,64.4,355.8,5.5,8.0,9.5,1.3,18.8,4.1,37.1,0.7,0.6,1.4,7,14,14.3,17.6,33.4,52.7,189.4,1.3,27.9,74.1,2.7,0.4,61.3,263.5,4.3,8.6,4.3,1.2,14.1,6.2,47.6,0.7,1.1,1.8,116,12,15.3,17.5,32.0,54.7,174.3,0.8,33.2,100.6,3.0,1.1,65.2,274.9,4.2,9.0,5.8,0.8,15.6,5.7,44.3,0.7,1.0,1.7,60,12,24.7,14.1,27.0,52.2,176.6,1.1,36.9,150.9,4.1,1.6,63.9,327.5,5.1,7.4,7.9,1.3,16.7,6.3,53.6,0.7,0.7,1.3
12,2008,Tulane,UAB,0,113,12,16.7,19.0,34.1,55.7,221.3,0.8,33.3,118.4,3.6,1.2,67.3,339.7,5.0,10.0,6.4,1.7,18.1,6.0,52.5,0.6,1.3,1.8,107,12,34.5,15.3,24.0,63.9,172.8,1.5,38.6,218.4,5.7,2.5,62.6,391.3,6.3,8.5,10.2,1.8,20.5,5.4,53.9,0.7,0.8,1.4,86,12,22.8,17.3,29.4,58.9,197.3,0.8,36.3,168.9,4.7,1.6,65.7,366.2,5.6,8.7,8.4,1.4,18.5,6.9,65.3,0.8,1.3,2.1,97,12,31.3,18.8,30.0,62.8,262.9,1.8,35.0,167.0,4.8,2.1,65.0,429.9,6.6,10.4,7.9,1.7,20.0,5.1,47.3,0.7,1.3,2.0
12,2008,Arizona State,Washington State,1,84,12,22.8,19.0,32.9,57.7,220.3,1.4,30.8,89.1,2.9,0.6,63.7,309.4,4.9,9.3,5.8,1.9,17.1,7.8,66.8,0.6,0.9,1.5,45,12,22.7,19.3,33.8,57.0,208.7,1.3,35.8,126.5,3.5,1.0,69.5,335.2,4.8,9.9,6.9,2.3,19.2,6.3,54.2,0.6,1.3,1.9,119,13,12.7,14.7,27.8,52.9,146.0,0.5,34.6,95.1,2.7,1.0,62.4,241.1,3.9,6.7,5.8,1.6,14.2,7.2,69.4,1.3,1.6,2.9,119,13,43.8,14.6,25.2,57.9,195.8,1.7,42.8,247.6,5.8,3.8,68.1,443.4,6.5,8.6,11.6,1.8,22.1,6.8,60.5,0.2,0.8,1.0
12,2008,Baylor,Texas A&M,1,42,12,28.0,14.2,24.2,58.6,180.7,1.3,40.1,195.8,4.9,2.4,64.3,376.4,5.9,7.8,10.3,1.6,19.8,6.7,54.7,0.5,0.4,0.9,87,12,29.3,24.0,35.6,67.4,255.3,1.8,38.6,137.9,3.6,1.8,74.2,393.2,5.3,11.8,9.4,1.5,22.8,5.7,52.3,0.9,1.3,2.3,64,12,25.0,20.9,34.3,60.9,252.4,1.9,30.4,88.5,2.9,1.2,64.8,340.9,5.3,10.9,6.1,1.6,18.6,7.3,56.8,1.3,1.0,2.3,115,12,37.4,19.9,30.4,65.5,242.7,1.5,42.3,219.3,5.2,2.8,72.7,461.9,6.4,11.8,11.7,1.5,24.9,6.3,51.8,0.8,0.7,1.4
12,2008,Idaho,Boise State,0,103,12,19.6,16.7,31.6,52.8,187.8,1.7,35.4,133.2,3.8,0.8,67.0,320.9,4.8,8.7,7.3,1.7,17.7,6.4,61.4,1.0,1.7,2.7,118,12,42.8,22.3,33.4,66.8,262.4,2.4,37.3,209.6,5.6,2.9,70.8,472.0,6.7,11.5,11.0,1.7,24.2,6.0,56.3,0.8,0.8,1.5,12,13,37.6,22.9,33.7,68.0,288.5,2.3,34.5,152.3,4.4,2.2,68.2,440.8,6.5,12.5,7.8,1.6,21.9,7.2,64.5,1.2,0.8,2.0,3,13,12.6,18.0,34.5,52.1,190.2,0.6,36.6,118.0,3.2,0.7,71.2,308.2,4.3,8.7,7.1,1.8,17.5,6.5,57.3,0.8,1.7,2.5
12,2008,Florida State,Boston College,0,22,13,33.4,16.2,29.8,54.5,192.8,1.4,37.2,179.1,4.8,2.1,66.9,371.8,5.6,8.7,10.1,1.6,20.4,7.8,72.1,0.8,1.2,2.0,26,13,20.2,13.5,26.3,51.2,162.4,1.2,34.6,132.5,3.8,0.9,60.9,294.9,4.8,6.9,6.8,2.7,16.5,5.8,45.6,1.3,0.7,2.0,66,14,24.7,16.6,32.0,52.0,176.5,1.2,37.0,142.9,3.9,1.3,69.0,319.4,4.6,8.1,8.6,1.4,18.2,4.3,36.7,1.1,1.2,2.4,17,14,18.4,17.4,31.1,56.1,176.9,0.6,32.4,91.2,2.8,1.0,63.5,268.1,4.2,8.1,5.2,1.4,14.7,5.2,44.5,0.7,1.9,2.6
12,2008,Air Force,Brigham Young,0,53,13,26.8,5.7,10.6,53.6,82.2,0.7,59.8,266.9,4.5,2.1,70.4,349.1,5.0,2.8,14.8,1.0,18.5,5.6,46.3,0.8,0.5,1.3,42,13,22.2,16.8,28.8,58.4,199.9,1.2,38.5,141.5,3.7,1.5,67.3,341.5,5.1,10.1,7.8,1.3,19.2,5.5,42.3,1.4,0.9,2.3,20,13,34.2,26.0,37.9,68.6,310.4,2.7,32.6,134.4,4.1,1.6,70.5,444.8,6.3,15.2,7.3,1.6,24.2,7.8,70.2,1.1,1.1,2.2,39,13,21.9,19.2,31.5,61.1,215.6,1.3,36.4,140.3,3.9,1.4,67.8,355.9,5.2,10.6,8.0,2.1,20.7,5.9,54.2,1.6,0.7,2.3
12,2008,Marshall,UCF,0,98,12,20.5,14.7,29.3,50.1,172.7,1.4,35.3,157.8,4.5,1.1,64.5,330.4,5.1,7.1,8.4,1.3,16.8,5.3,45.3,0.7,1.2,1.8,73,12,27.7,20.8,35.4,58.6,253.7,1.5,41.5,164.4,4.0,1.7,76.9,418.1,5.4,11.6,10.2,1.6,23.3,5.8,49.8,0.8,0.8,1.5,114,12,16.6,11.0,25.7,42.9,116.3,1.0,37.8,113.3,3.0,0.7,63.4,229.5,3.6,6.0,6.2,0.8,13.0,5.7,52.3,1.2,0.9,2.1,55,12,24.1,17.3,33.2,52.3,207.7,1.2,37.4,126.1,3.4,1.5,70.6,333.8,4.7,8.8,6.4,1.5,16.8,5.8,48.4,0.7,1.5,2.2
12,2008,Clemson,Duke,1,60,13,25.2,19.1,30.8,62.0,217.8,1.2,33.2,111.5,3.4,1.7,63.9,329.4,5.2,9.9,6.4,1.8,18.2,5.5,47.5,1.0,1.2,2.2,13,13,17.3,18.4,32.9,55.8,172.5,1.1,34.1,127.4,3.7,0.5,67.0,299.9,4.5,8.4,6.5,1.1,16.0,6.5,52.6,0.7,1.5,2.2,101,12,20.1,20.7,34.2,60.5,197.7,1.4,34.9,106.2,3.0,0.8,69.1,303.8,4.4,9.8,6.8,1.2,17.8,4.7,43.8,0.8,1.0,1.8,50,12,23.4,14.9,26.3,56.8,205.4,1.4,39.6,151.5,3.8,1.3,65.8,356.9,5.4,9.4,7.1,1.2,17.7,4.7,40.8,0.9,1.3,2.2
12,2008,Colorado State,New Mexico,1,61,13,25.2,19.7,32.8,60.0,248.2,1.5,35.1,147.6,4.2,1.4,67.9,395.8,5.8,10.8,8.2,1.1,20.2,4.6,42.1,0.3,1.2,1.5,91,13,30.2,19.5,30.5,63.9,220.0,1.8,36.2,190.1,5.3,1.7,66.6,410.1,6.2,10.3,9.8,1.2,21.4,6.0,55.7,0.9,0.8,1.7,94,12,21.1,13.3,24.1,55.0,131.3,0.3,45.0,208.3,4.6,1.9,69.1,339.6,4.9,6.4,10.7,1.3,18.3,6.8,57.8,0.7,1.2,1.8,46,12,22.8,17.6,30.5,57.7,213.5,2.0,36.6,122.3,3.3,0.5,67.1,335.8,5.0,9.4,7.4,1.1,17.9,5.4,47.7,1.1,1.0,2.1
12,2008,Syracuse,Connecticut,0,108,12,18.1,11.8,24.9,47.2,121.5,0.9,32.7,148.7,4.6,0.9,57.6,270.2,4.7,5.3,7.3,1.0,13.7,4.5,38.3,0.8,0.7,1.4,103,12,32.7,20.2,32.0,63.0,225.1,2.3,37.8,189.4,5.0,1.5,69.8,414.5,5.9,11.0,10.6,0.9,22.5,5.9,54.1,0.7,0.7,1.3,65,13,24.9,12.6,25.3,49.8,139.7,0.4,42.8,216.4,5.1,2.1,68.1,356.1,5.2,6.3,11.1,1.7,19.1,5.1,43.9,0.9,1.3,2.2,22,13,19.8,15.1,28.3,53.3,168.2,0.7,32.5,109.8,3.4,1.2,60.8,278.0,4.6,7.3,5.8,1.2,14.2,5.9,49.7,0.5,1.4,1.9
12,2008,Florida,South Carolina,1,4,14,43.6,15.1,23.5,64.1,213.9,2.4,38.9,231.1,5.9,3.0,62.4,445.1,7.1,9.2,11.0,1.6,21.9,7.3,59.9,0.6,0.4,0.9,4,14,12.9,17.3,32.6,53.1,179.9,0.9,31.4,105.4,3.4,0.6,64.0,285.3,4.5,8.3,6.9,1.5,16.7,6.2,50.1,0.6,1.9,2.5,96,13,20.8,19.2,34.8,55.1,222.5,1.5,32.1,94.1,2.9,0.5,66.8,316.5,4.7,9.9,7.0,1.6,18.5,5.8,49.2,0.8,2.1,2.9,31,13,21.1,14.5,25.2,57.6,159.2,0.7,36.6,132.7,3.6,1.8,61.8,291.9,4.7,7.3,7.5,1.6,16.5,5.3,45.1,1.0,1.1,2.1
12,2008,Florida Atlantic,Louisiana,1,62,13,25.1,18.7,35.2,53.2,254.8,1.9,32.0,138.8,4.3,1.2,67.2,393.5,5.9,11.8,7.4,1.2,20.5,7.4,70.4,1.1,1.2,2.2,82,13,28.7,19.8,31.0,64.0,221.7,1.8,40.6,178.7,4.4,1.8,71.6,400.4,5.6,9.1,10.2,2.3,21.5,6.4,55.5,0.5,1.0,1.5,24,12,33.1,15.3,24.0,63.5,185.5,1.5,44.4,263.7,5.9,2.7,68.4,449.2,6.6,8.3,11.3,1.3,20.8,7.1,57.8,0.8,1.3,2.1,105,12,33.7,17.3,28.9,59.9,216.3,2.0,40.4,213.3,5.3,1.9,69.3,429.6,6.2,9.7,10.7,1.7,22.0,7.3,62.8,0.9,0.8,1.7
12,2008,Fresno State,New Mexico State,1,37,13,29.6,17.0,28.6,59.4,204.9,1.4,36.8,182.3,4.9,1.8,65.5,387.2,5.9,9.8,9.2,1.7,20.7,4.9,41.8,0.9,0.9,1.8,93,13,31.1,17.2,29.5,58.3,200.8,1.5,37.7,210.0,5.6,1.8,67.2,410.8,6.1,8.8,9.9,1.3,20.1,6.2,57.6,0.6,0.4,1.0,89,12,22.2,27.5,41.0,67.1,301.3,2.1,26.5,54.3,2.0,0.6,67.5,355.6,5.3,12.6,4.1,1.7,18.3,5.4,45.3,1.1,1.3,2.4,106,12,34.1,14.7,25.0,58.7,159.4,1.2,42.3,220.2,5.2,2.6,67.3,379.6,5.6,7.5,11.8,1.4,20.7,7.3,63.0,1.2,0.8,1.9
12,2008,Auburn,Georgia,0,111,12,17.3,15.3,28.4,54.0,165.4,0.6,39.1,137.5,3.5,1.0,67.5,302.9,4.5,6.8,8.5,1.2,16.5,6.2,47.3,1.1,1.1,2.2,14,12,18.0,16.6,30.8,53.9,178.8,1.6,34.0,138.9,4.1,0.6,64.8,317.8,4.9,8.4,7.1,1.5,17.0,4.9,41.7,0.6,0.9,1.5,29,13,31.5,18.9,30.8,61.5,277.7,2.1,32.8,148.3,4.5,1.6,63.5,426.0,6.7,12.5,7.3,1.2,21.0,8.6,72.2,0.7,0.8,1.5,58,13,24.5,16.2,29.0,55.7,189.7,1.3,33.8,122.3,3.6,1.8,62.8,312.0,5.0,8.4,6.4,2.7,17.5,5.1,42.9,0.4,0.8,1.2
12,2008,Houston,Tulsa,1,10,13,40.6,31.6,46.9,67.4,401.6,3.5,31.2,161.2,5.2,1.8,78.2,562.8,7.2,17.3,8.2,1.8,27.3,6.3,58.2,1.3,0.8,2.2,92,13,30.9,19.4,32.2,60.1,238.3,2.1,42.1,175.2,4.2,1.8,74.3,413.5,5.6,10.0,10.4,1.5,21.9,7.0,58.6,0.7,1.0,1.7,2,14,47.2,19.3,30.2,63.8,301.9,3.4,48.1,268.0,5.6,2.9,78.4,569.9,7.3,13.1,13.4,1.4,27.9,4.4,37.0,0.6,1.5,2.1,76,14,27.9,18.9,32.2,58.8,249.6,2.3,33.9,129.5,3.8,0.9,66.1,379.1,5.7,10.8,7.2,1.1,19.1,5.4,50.4,1.1,0.6,1.8
12,2008,Iowa,Purdue,1,34,13,30.3,14.4,24.6,58.4,181.7,1.2,39.6,188.7,4.8,2.3,64.2,370.4,5.8,8.3,11.2,1.2,20.7,4.1,34.3,1.0,0.8,1.8,5,13,13.0,19.7,35.6,55.3,197.3,0.7,30.5,94.0,3.1,0.5,66.2,291.3,4.4,9.9,5.2,1.4,16.5,5.0,46.5,0.7,1.8,2.5,70,12,24.7,24.6,41.8,58.8,249.6,1.3,32.7,124.8,3.8,1.6,74.5,374.4,5.0,11.5,7.8,1.9,21.2,5.0,40.3,0.8,1.1,1.9,64,12,25.1,16.8,29.9,56.3,183.3,1.2,38.8,174.8,4.5,1.4,68.8,358.1,5.2,8.1,9.7,1.4,19.2,6.3,50.3,0.8,0.8,1.7
12,2008,LSU,Troy,1,30,13,30.9,15.8,30.1,52.7,201.3,1.6,38.1,166.8,4.4,2.1,68.2,368.1,5.4,8.8,9.4,1.4,19.5,6.3,49.9,0.2,1.4,1.5,56,13,24.2,17.5,32.7,53.4,215.4,1.2,32.4,110.2,3.4,1.3,65.1,325.5,5.0,8.8,5.8,1.6,16.2,5.8,49.0,0.8,0.6,1.5,26,13,32.8,24.5,40.3,60.9,246.6,2.0,34.5,167.6,4.9,1.8,74.8,414.2,5.5,11.5,9.5,1.5,22.4,6.8,57.8,0.9,0.8,1.8,34,13,21.3,17.8,32.5,54.8,187.8,1.4,39.8,139.7,3.5,1.2,72.3,327.5,4.5,8.7,8.2,1.6,18.5,6.8,51.8,0.6,1.6,2.2
12,2008,Louisiana Tech,Utah State,1,72,13,24.6,12.2,26.4,46.1,156.0,0.7,40.2,187.1,4.7,1.8,66.6,343.1,5.2,6.0,10.6,1.4,18.0,6.1,52.5,0.8,0.8,1.5,52,13,23.7,21.7,36.2,60.0,272.7,1.9,33.5,103.8,3.1,0.9,69.6,376.5,5.4,12.8,5.5,1.4,19.6,5.9,50.1,0.9,1.3,2.2,78,12,24.0,16.1,28.5,56.4,196.5,1.3,36.4,137.8,3.8,1.5,64.9,334.3,5.1,8.3,7.3,1.8,17.4,7.3,66.8,0.9,1.2,2.1,108,12,34.7,22.5,35.0,64.3,251.1,2.0,36.0,161.6,4.5,1.8,71.0,412.7,5.8,11.2,9.2,2.0,22.3,7.1,64.6,1.0,1.0,2.0
12,2008,Maryland,North Carolina,1,92,13,21.8,17.5,30.7,56.9,206.7,1.2,33.5,144.0,4.3,1.4,64.2,350.7,5.5,9.8,6.9,1.2,17.9,4.7,41.2,0.9,1.0,1.9,44,13,22.5,19.8,32.8,60.2,218.2,1.5,37.5,146.7,3.9,1.0,70.3,364.9,5.2,10.8,8.4,0.9,20.1,5.1,44.6,0.5,0.8,1.3,44,13,27.7,14.0,24.6,56.9,198.8,1.6,34.7,122.6,3.5,1.4,59.3,321.4,5.4,8.4,6.8,0.6,15.8,4.8,42.3,0.8,0.9,1.8,32,13,21.2,22.1,35.8,61.6,226.0,1.2,37.2,139.4,3.7,1.2,73.1,365.4,5.0,10.4,8.5,1.5,20.4,5.5,46.8,0.7,1.5,2.2
12,2008,Western Kentucky,Middle Tennessee State,0,110,12,17.5,13.8,26.5,51.9,142.2,0.8,35.7,143.9,4.0,1.3,62.2,286.1,4.6,6.5,7.3,1.4,15.2,5.3,51.3,0.6,1.0,1.6,70,12,27.2,20.3,32.3,63.0,212.8,1.5,37.3,162.4,4.4,1.5,69.6,375.3,5.4,10.3,9.0,1.7,20.9,6.4,58.9,0.6,0.9,1.5,85,12,22.8,21.3,34.5,61.8,241.7,1.5,34.3,106.9,3.1,1.3,68.8,348.6,5.1,10.6,7.0,1.1,18.7,5.7,50.6,0.8,0.9,1.7,62,12,24.9,18.0,30.4,59.2,212.8,1.4,37.8,153.5,4.1,1.7,68.2,366.3,5.4,9.4,8.1,1.6,19.1,6.0,45.2,1.0,0.9,1.9
12,2008,Ole Miss,Louisiana-Monroe,1,28,13,32.1,14.6,26.2,55.9,221.2,2.1,40.0,186.5,4.7,1.6,66.2,407.6,6.2,9.5,9.4,0.8,19.7,5.1,48.0,0.8,1.2,1.9,20,13,19.0,19.8,33.6,58.8,221.7,1.4,31.6,85.5,2.7,0.7,65.2,307.2,4.7,9.0,6.6,1.5,17.1,6.1,45.8,0.5,1.2,1.8,79,12,23.7,16.8,28.9,57.9,184.6,1.7,35.3,152.7,4.3,1.3,64.3,337.3,5.2,8.4,6.8,1.9,17.1,6.8,59.8,0.4,0.8,1.2,95,12,31.2,18.4,30.8,59.7,232.0,1.6,37.0,212.7,5.7,1.9,67.8,444.7,6.6,10.3,9.4,1.3,21.1,7.2,66.4,0.8,0.6,1.3
12,2008,Iowa State,Missouri,0,59,12,25.3,21.8,36.5,59.6,248.4,1.4,33.6,138.4,4.1,1.5,70.1,386.8,5.5,11.3,7.3,1.5,20.1,6.4,57.4,0.9,0.9,1.8,111,12,35.8,20.8,30.9,67.4,276.7,2.6,36.5,176.2,4.8,2.1,67.4,452.8,6.7,11.7,9.7,1.2,22.5,4.8,39.3,1.3,0.9,2.2,6,14,42.2,28.9,40.4,71.5,330.4,2.9,29.8,153.8,5.2,2.0,70.1,484.1,6.9,16.8,7.1,1.6,25.6,4.1,37.4,0.6,1.3,1.9,69,14,27.2,26.7,41.6,64.2,286.6,2.1,36.4,124.9,3.4,1.4,78.1,411.5,5.3,14.2,7.9,1.3,23.4,7.0,59.1,0.6,1.0,1.6
12,2008,Kansas State,Nebraska,0,19,12,34.9,20.8,35.4,58.8,269.6,1.8,34.0,132.5,3.9,2.2,69.4,402.1,5.8,11.5,7.8,1.6,20.8,5.6,45.8,1.2,0.8,2.0,112,12,35.8,21.4,35.3,60.6,261.4,2.2,41.8,217.7,5.2,2.6,77.2,479.1,6.2,12.6,11.3,1.3,25.2,7.0,55.2,0.6,0.8,1.4,17,13,35.4,22.7,33.3,68.1,281.0,2.1,37.4,169.8,4.5,2.1,70.7,450.8,6.4,13.2,8.7,0.8,22.7,7.2,61.5,1.3,0.8,2.2,81,13,28.5,17.1,29.6,57.7,233.4,1.5,32.2,116.5,3.6,1.8,61.8,349.8,5.7,9.0,6.4,2.2,17.5,4.9,36.7,0.4,0.9,1.3
12,2008,Nevada,San Jose State,1,13,13,37.6,17.2,32.2,53.6,230.8,1.7,45.6,277.8,6.1,3.0,77.8,508.5,6.5,10.3,13.4,1.6,25.3,6.8,57.9,1.2,0.7,1.8,100,13,32.3,20.8,38.9,53.6,311.6,2.4,29.0,88.6,3.1,1.3,67.9,400.2,5.9,12.4,5.2,1.5,19.2,6.8,53.8,0.7,1.2,1.9,106,12,18.7,19.7,31.9,61.6,196.2,1.0,32.2,86.7,2.7,0.9,64.1,282.8,4.4,7.9,4.9,1.7,14.5,6.8,51.9,0.5,1.1,1.6,37,12,21.6,15.6,29.7,52.5,170.3,0.8,35.4,141.4,4.0,1.5,65.1,311.7,4.8,7.6,7.7,1.4,16.7,8.7,80.0,0.9,1.3,2.3
12,2008,North Carolina State,Wake Forest,1,80,13,23.5,15.2,30.2,50.3,206.0,1.5,34.0,123.2,3.6,1.1,64.2,329.2,5.1,8.5,7.5,1.2,17.2,5.5,42.3,0.5,1.1,1.5,65,13,26.3,21.4,34.4,62.2,248.7,1.5,34.0,142.2,4.2,1.3,68.4,390.9,5.7,11.5,8.8,1.2,21.4,4.9,45.5,0.8,1.4,2.2,95,13,21.0,18.0,28.5,63.2,186.9,1.1,39.6,121.4,3.1,1.1,68.1,308.3,4.5,8.5,7.1,1.2,16.8,4.7,48.2,1.0,0.5,1.5,16,13,18.3,15.3,29.4,52.1,172.5,1.2,35.2,124.2,3.5,0.8,64.6,296.7,4.6,7.9,7.0,1.0,15.9,5.8,51.4,1.5,1.4,2.8
12,2008,Michigan,Northwestern,0,99,12,20.3,13.8,28.2,48.8,143.2,0.9,37.8,147.6,3.9,1.4,65.9,290.8,4.4,5.8,8.2,1.5,15.5,4.8,41.7,1.5,1.0,2.5,85,12,28.9,18.0,31.2,57.8,230.0,1.6,38.5,136.9,3.6,1.8,69.7,366.9,5.3,8.8,6.8,1.5,17.0,5.4,47.5,0.9,0.8,1.7,75,13,24.4,21.5,35.2,60.9,216.7,1.5,37.8,141.8,3.8,1.2,73.0,358.5,4.9,10.8,7.3,2.1,20.2,4.7,43.6,0.8,1.4,2.2,27,13,20.2,21.3,36.3,58.7,214.2,1.0,34.9,126.4,3.6,1.2,71.2,340.5,4.8,9.3,8.6,1.3,19.2,6.0,52.9,0.9,1.0,1.9
